DayType,Hour,AverageMETs
Weekday,0,1.069
Weekday,1,1.044
Weekday,2,1.029
Weekday,3,1.016
Weekday,4,1.027
Weekday,5,1.247
Weekday,6,1.361
Weekday,7,1.479
Weekday,8,1.568
Weekday,9,1.595
Weekday,10,1.662
Weekday,11,1.625
Weekday,12,1.741
Weekday,13,1.67
Weekday,14,1.725
Weekday,15,1.571
Weekday,16,1.752
Weekday,17,1.91
Weekday,18,1.912
Weekday,19,1.849
Weekday,20,1.568
Weekday,21,1.457
Weekday,22,1.346
Weekday,23,1.193
Saturday,0,1.113
Saturday,1,1.085
Saturday,2,1.07
Saturday,3,1.025
Saturday,4,1.021
Saturday,5,1.022
Saturday,6,1.102
Saturday,7,1.304
Saturday,8,1.539
Saturday,9,1.734
Saturday,10,1.763
Saturday,11,1.885
Saturday,12,1.952
Saturday,13,2.158
Saturday,14,1.966
Saturday,15,1.745
Saturday,16,1.678
Saturday,17,1.682
Saturday,18,1.745
Saturday,19,1.825
Saturday,20,1.56
Saturday,21,1.479
Saturday,22,1.422
Saturday,23,1.21
Sunday,0,1.137
Sunday,1,1.093
Sunday,2,1.074
Sunday,3,1.015
Sunday,4,1.017
Sunday,5,1.025
Sunday,6,1.1
Sunday,7,1.258
Sunday,8,1.467
Sunday,9,1.591
Sunday,10,1.757
Sunday,11,1.634
Sunday,12,1.669
Sunday,13,1.741
Sunday,14,1.769
Sunday,15,1.695
Sunday,16,1.579
Sunday,17,1.789
Sunday,18,1.745
Sunday,19,1.714
Sunday,20,1.445
Sunday,21,1.44
Sunday,22,1.234
Sunday,23,1.147
